1	2	3	4
2781	2724	2878	2833
2694	2694	2751	2782
2607	2645	2748	2765
2583	2597	2560	2732
2542	2555	2546	2655
2535	2428	2527	2637
1	1	1	1
1	1	1	1
2286	2354	2523	2592
2225	2317	2518	2557
2177	2304	2505	2465
2175	2274	2504	2321
2140	2173	2463	2313
2137	2159	2334	2312
1	1	1	1
1	1	1	1
2636	2156	2295	2251
2589	2145	2276	2243
2535	2138	2214	2222
2444	2138	2123	2185
2323	2133	2062	2164
2291	2108	2061	2135
1	1	1	1
1	1	1	1
2573	2540	2048	2112
2537	2521	2047	2112
2515	2474	1978	2101
2380	2331	1897	2093
2314	2309	1875	1959
2325	2470	1831	1900
1	1	1	1
1	1	1	1
2212	2105	2586	2587
2250	2097	2574	2578
2258	2076	2177	2183
2211	2043	1915	2004
2196	2029	1891	1901
2194	2524	1859	1867
1	1	1	1
1	1	1	1
2799	2137	2805	2800
2798	1906	2799	2799
2793	1890	2798	2795
2789	1852	2794	2792
2785	1781	2791	2788
2782	1764	2788	2783
2775	1	2782	2778
2774	1	2776	2774
2771	2781	2774	2771
2768	2775	2771	2771
2763	2773	2769	2764
2760	2771	2763	2761
2759	2768	2760	2759
2756	2762	2759	2758
2753	2760	2757	2754
2750	2759	2753	2752
2748	2756	2751	2748
2747	2752	2748	2747
2747	2749	2747	2747
2741	2747	2747	2741
2738	2747	2741	2739
2735	2746	2739	2736
2734	2740	2736	2734
2730	2737	2734	2730
2729	2735	2730	2730
2725	2732	2730	2728
2722	2730	2726	2724
2721	2729	2724	2721
2717	2725	2721	2719
2794	2721	2719	2717
2710	2719	2716	2713
2706	2717	2712	2707
2703	2713	2707	2704
2701	2710	2704	2702
2700	2705	2701	2701
2695	2702	2701	2700
2691	2701	2696	2692
2689	2700	2691	2690
2683	2695	2689	2688
2681	2691	2686	2683
2678	2689	2682	2679
2677	2683	2678	2677
2673	2679	2677	2673
2667	2678	2673	2672
2666	2675	2672	2666
2664	2672	2666	2666
2661	2667	2665	2661
2656	2666	2661	2660
2654	2661	2657	2656
2650	2661	2655	2653
2648	2656	2650	2649
2644	2654	2648	2645
2638	2649	2645	2643
2637	2648	2642	2638
2636	2643	2637	2637
2632	2638	2637	2632
2627	2637	2632	2630
2624	2632	2630	2626
2619	2631	2624	2622
2609	2627	2620	2614
2600	2623	2613	2609
2596	2617	2600	2597
2559	2606	2596	2574
2531	2598	2563	2544
2494	2590	2535	2523
2464	2540	2500	2481
2447	2521	2475	2463
2435	2479	2450	2441
2429	2451	2440	2430
2417	2444	2429	2426
2415	2434	2419	2416
2406	2422	2415	2412
2402	2417	2406	2406
2400	2413	2404	2401
2394	2406	2400	2395
2391	2400	2395	2394
2383	2396	2392	2386
2377	2392	2383	2383
2373	2389	2381	2376
2366	2381	2374	2372
2366	2377	2371	2366
2364	2371	2366	2365
2360	2366	2365	2364
2359	2366	2360	2360
2354	2360	2359	2359
2354	2360	2357	2354
2349	2359	2354	2349
2348	2354	2349	2348
2346	2352	2348	2348
2343	2348	2348	2343
2337	2348	2343	2342
2336	2345	2337	2337
2331	2342	2336	2331
2324	2337	2331	2330
2320	2332	2325	2321
2319	2325	2320	2320
2316	2324	2319	2319
2313	2320	2318	2314
2304	2319	2313	2308
2302	2314	2307	2302
2296	2309	2302	2300
2290	2303	2296	2296
2285	2297	2295	2286
2283	2296	2285	2285
