1	2	3
2781	2724	2878
2694	2694	2751
2607	2645	2748
2583	2597	2560
2542	2555	2546
2535	2428	2527
2286	2354	2523
2225	2317	2518
2177	2304	2505
2175	2274	2504
2140	2173	2463
2137	2159	2334
2833	2156	2295
2782	2145	2276
2765	2138	2214
2732	2138	2123
2655	2133	2062
2637	2108	2061
2592	2105	2048
2557	2097	2047
2465	2076	1978
2321	2043	1897
2313	2029	1875
2312	2524	1831
2636	2251	2112
2589	2243	2112
2535	2222	2101
2444	2185	2093
2323	2164	1959
2291	2135	1900
2212	2540	2573
2250	2521	2537
2258	2474	2515
2211	2331	2380
2196	2309	2314
2194	2470	2325
